date,target_group,value,population
2025-11-22,Adults,129,14194251
2025-11-22,Overall,246,19116209
2025-11-22,Pediatrics,117,4921958
2025-11-29,Adults,132,14194251
2025-11-29,Overall,217,19116209
2025-11-29,Pediatrics,85,4921958
2025-12-06,Adults,118,14194251
2025-12-06,Overall,217,19116209
2025-12-06,Pediatrics,99,4921958
2025-12-13,Adults,116,14194251
2025-12-13,Overall,210,19116209
2025-12-13,Pediatrics,94,4921958
2025-12-20,Adults,122,14194251
2025-12-20,Overall,195,19116209
2025-12-20,Pediatrics,73,4921958
2025-12-27,Adults,92,14194251
2025-12-27,Overall,146,19116209
2025-12-27,Pediatrics,54,4921958
2026-01-03,Adults,49,14194251
2026-01-03,Overall,83,19116209
2026-01-03,Pediatrics,34,4921958
2026-01-10,Adults,92,14194251
2026-01-10,Overall,133,19116209
2026-01-10,Pediatrics,41,4921958
2026-01-17,Adults,94,14194251
2026-01-17,Overall,118,19116209
2026-01-17,Pediatrics,24,4921958
2026-01-24,Adults,92,14194251
2026-01-24,Overall,120,19116209
2026-01-24,Pediatrics,28,4921958
2026-01-31,Adults,88,14194251
2026-01-31,Overall,108,19116209
2026-01-31,Pediatrics,20,4921958
2026-02-07,Adults,98,14194251
2026-02-07,Overall,116,19116209
2026-02-07,Pediatrics,18,4921958
2026-02-14,Adults,97,14194251
2026-02-14,Overall,126,19116209
2026-02-14,Pediatrics,29,4921958
2026-02-21,Adults,85,14194251
2026-02-21,Overall,113,19116209
2026-02-21,Pediatrics,28,4921958
2026-02-28,Adults,92,14194251
2026-02-28,Overall,113,19116209
2026-02-28,Pediatrics,21,4921958
2026-03-07,Adults,100,14194251
2026-03-07,Overall,153,19116209
2026-03-07,Pediatrics,53,4921958
2026-03-14,Adults,93,14194251
2026-03-14,Overall,197,19116209
2026-03-14,Pediatrics,104,4921958
2026-03-21,Adults,102,14194251
2026-03-21,Overall,218,19116209
2026-03-21,Pediatrics,116,4921958
2026-03-28,Adults,112,14194251
2026-03-28,Overall,187,19116209
2026-03-28,Pediatrics,75,4921958
2026-04-04,Adults,158,14194251
2026-04-04,Overall,246,19116209
2026-04-04,Pediatrics,88,4921958
2026-04-11,Adults,115,14194251
2026-04-11,Overall,200,19116209
2026-04-11,Pediatrics,85,4921958
2026-04-18,Adults,117,14194251
2026-04-18,Overall,203,19116209
2026-04-18,Pediatrics,86,4921958
2026-04-25,Adults,111,14194251
2026-04-25,Overall,198,19116209
