date,target_group,population,value
1/4/25,North Carolina,11046024,960
1/11/25,Delaware,1051917,108
1/11/25,Florida,23372215,2454
1/11/25,Georgia,11180878,823
1/11/25,Maryland,6263220,372
1/11/25,North Carolina,11046024,855
1/18/25,Delaware,1051917,94
1/18/25,Florida,23372215,2708
1/18/25,Georgia,11180878,992
1/18/25,Maryland,6263220,466
1/18/25,North Carolina,11046024,1150
1/25/25,Delaware,1051917,117
1/25/25,Florida,23372215,3241
1/25/25,Georgia,11180878,1195
1/25/25,Maryland,6263220,611
1/25/25,North Carolina,11046024,1622
2/1/25,Delaware,1051917,198
2/1/25,Florida,23372215,3787
2/1/25,Georgia,11180878,1373
2/1/25,Maryland,6263220,810
2/1/25,North Carolina,11046024,2155
2/8/25,Delaware,1051917,231
2/8/25,Florida,23372215,3349
2/8/25,Georgia,11180878,1301
2/8/25,Maryland,6263220,1086
2/8/25,North Carolina,11046024,2377
2/15/25,Delaware,1051917,230
2/15/25,Florida,23372215,2614
2/15/25,Georgia,11180878,744
2/15/25,Maryland,6263220,1081
2/15/25,North Carolina,11046024,1768
2/22/25,Delaware,1051917,164
2/22/25,Florida,23372215,2076
2/22/25,Georgia,11180878,461
2/22/25,Maryland,6263220,764
2/22/25,North Carolina,11046024,1228
3/1/25,Delaware,1051917,125
3/1/25,Florida,23372215,1630
3/1/25,Georgia,11180878,437
3/1/25,Maryland,6263220,548
3/1/25,North Carolina,11046024,960
3/8/25,Delaware,1051917,81
3/8/25,Florida,23372215,1322
3/8/25,Georgia,11180878,396
3/8/25,Maryland,6263220,379
3/8/25,North Carolina,11046024,857
3/15/25,Delaware,1051917,64
3/15/25,Florida,23372215,1107
3/15/25,Georgia,11180878,365
3/15/25,Maryland,6263220,291
3/15/25,North Carolina,11046024,687
3/22/25,Delaware,1051917,48
3/22/25,Florida,23372215,920
3/22/25,Georgia,11180878,235
